stems,Tokens,Sources_count,Sources_density
useless,{'useless': 1},1,0.034482758620689655
answer,{'answer': 2},2,0.06896551724137931
attract,{'attracting': 1},1,0.034482758620689655
clue,{'clue': 1},1,0.034482758620689655
deciph,{'decipher': 1},1,0.034482758620689655
describ,{'describe': 1},1,0.034482758620689655
determin,{'determine': 1},1,0.034482758620689655
distract,{'distracted': 1},1,0.034482758620689655
explain,{'explain': 1},1,0.034482758620689655
find,{'find': 3},3,0.10344827586206896
form,{'form': 1},1,0.034482758620689655
grasp,{'grasp': 1},1,0.034482758620689655
help,{'help': 2},2,0.06896551724137931
impact,{'impact': 1},1,0.034482758620689655
infer,{'infer': 1},1,0.034482758620689655
iter,{'iterate': 1},1,0.034482758620689655
make,{'make': 1},1,0.034482758620689655
makesens,{'makesense': 3},3,0.10344827586206896
process,{'process': 2},2,0.06896551724137931
rank,{'rank': 1},1,0.034482758620689655
recogn,{'recognize': 1},1,0.034482758620689655
relat,{'relate': 1},1,0.034482758620689655
show,"{'show': 3, 'shows': 1}",4,0.13793103448275862
summar,{'summarize': 2},2,0.06896551724137931
support,{'support': 1},1,0.034482758620689655
tell,{'tells': 1},1,0.034482758620689655
want,{'want': 1},1,0.034482758620689655
consis,{'consisely': 1},1,0.034482758620689655
easili,{'easily': 9},9,0.3103448275862069
effort,{'effort': 1},1,0.034482758620689655
exact,{'exactly': 2},2,0.06896551724137931
explor,{'explore': 1},1,0.034482758620689655
glanc,{'glance': 1},1,0.034482758620689655
hard,{'hard': 1},1,0.034482758620689655
immedi,{'immediately': 1},1,0.034482758620689655
layout,{'layout': 1},1,0.034482758620689655
long,{'long': 1},1,0.034482758620689655
one,{'one': 1},1,0.034482758620689655
paragraph,{'paragraph': 1},1,0.034482758620689655
quick,{'quickly': 3},3,0.10344827586206896
rapid,{'rapidly': 1},1,0.034482758620689655
salient,{'saliently': 1},1,0.034482758620689655
second,{'seconds': 1},1,0.034482758620689655
sentenc,{'sentence': 1},1,0.034482758620689655
time,"{'time': 3, 'timely': 1}",4,0.13793103448275862
timespan,{'timespan': 1},1,0.034482758620689655
