"terms","PA1","PA2","PA3"
"answer",-0.00871548101860839,0.518530034962733,0.360713199643109
"clearData",0.526611387438205,0.0580664685751815,0.348503933490226
"clearRepresent",0.449655900502459,0.177137472354901,0.282426455899493
"complex",0.494052023007537,0.129610290629131,0.152650495021395
"confid",-0.0638217076842086,0.844948852316157,0.0123291117229635
"confus",0.677146166013148,0.265890648601152,-0.0696896726841678
"crowd",0.928212328649538,-0.272432154690223,0.00375883211170171
"deciph",0.630671536469239,0.264194694527408,0.0141556580593192
"distinguish",0.349618242444809,-0.121072823029176,0.575894665143468
"distract",0.564081187175505,0.154694697375217,-0.0491106594629513
"effect",0.292908222207689,0.146513767952036,0.402152096933612
"find",0.159448256109926,0.0827877017770304,0.630643711879933
"identifi",0.164862415696133,0.168217000480229,0.585618603570682
"inform",0.182784147496008,0.0454823519068569,0.674284682483148
"lost",0.52293818190575,0.314180436041616,0.0686691861510227
"meanElem",-0.199168079510954,0.633926137269032,0.332613736803324
"meanOveral",-0.0271925380245505,0.907477597460007,-0.219019459900532
"messi",1.01876063677802,-0.180197617236553,-0.0380777738867768
"obvious",-0.124727168844316,0.882441770165323,-0.0105994184678765
"organiz",0.73535910995584,-0.0393979300603861,0.0638870623664791
"read",0.472259640518903,0.12339915952107,0.324658579860304
"readabl",0.263473676944637,0.102112098435464,0.53059596739045
"represent",0.0602530727401338,0.81059247655059,-0.0692321180053543
"see",0.0136641376334264,-0.124868725083629,0.83400152499128
"simpl",0.632985825048993,0.089151678876463,0.196307080630999
"understandEasi",0.209741618632711,0.6325661824857,0.0803734445988311
"understandQuick",0.295004020430023,0.544124289528862,0.0260206036552656
"valu",-0.0693612836538262,0.305000226722845,0.41003356318222
"visibl",0.00176667825223731,-0.0823193570523229,0.761707899733218
