"terms","PA1","PA2","PA3"
"answer",-0.0320418305944184,0.0979521171671638,0.0631708549724138
"clearData",0.101358251157323,0.00638834208098492,0.082939614395722
"clearRepresent",0.0733267201510919,0.0374838703500726,0.0457976338167781
"complex",0.0315244501723117,0.00709941198626362,0.0130896494726728
"confid",-0.0193268964218317,0.156105788946463,0.00612614360339499
"confus",0.10235912834941,0.041214171947864,-0.0249240327469562
"crowd",0.0949132600485697,-0.0435722287699607,-0.00942880561986793
"deciph",0.0962073071323891,0.0506895248263266,-0.0188273008422132
"distinguish",0.0324762838281822,-0.0232433038694564,0.0889767346900875
"distract",0.0384560714466034,0.012438937846469,-0.0195316400608041
"effect",0.0243753612426202,0.0226455514605171,0.0616081829458793
"find",0.00877757820856726,0.0107709542738657,0.126588235218171
"identifi",0.0172372212708989,0.0358699665165933,0.129197620490643
"inform",0.0126211150830428,-0.00326294991680802,0.153546266775791
"lost",0.0762643386023337,0.0528117028254113,-0.00268924153909289
"meanElem",-0.0314745687720664,0.0965619252156314,0.0538185293899925
"meanOveral",-0.00678336499504136,0.123161629653662,-0.035063914166951
"messi",0.23618931707036,-0.0552538115676583,-0.0376816247478816
"obvious",-0.0128313317030602,0.154256687487973,0.000113743796950258
"organiz",0.0588490937000194,-0.00339700027611506,-0.00512274339555195
"read",0.070499504594124,0.0150750167174749,0.0568481616193537
"readabl",0.01671029098881,0.0131601756518197,0.120749501257343
"represent",-0.000644854860262099,0.135554774514829,-0.00860849800741315
"see",-0.0210147619120788,-0.0259869030063911,0.14143025470045
"simpl",0.130046438309068,0.00875814133668732,0.0213925714042253
"understandEasi",0.0357733390290447,0.146216733845839,-0.00310573981561362
"understandQuick",0.0337214634560725,0.0851984738153941,-0.000300315082450593
"valu",-0.0154312247770598,0.0296179155237398,0.0444371702554017
"visibl",-0.00714654888624454,-0.00977359579676631,0.116411610357245
