"","crowd","messi","distract","organiz"
"crowd",1,0.761794968372956,0.674037101900198,0.652128914452118
"messi",0.761794968372956,1,0.721840687703452,0.783529707681729
"distract",0.674037101900198,0.721840687703452,1,0.663833378128034
"organiz",0.652128914452118,0.78352970768173,0.663833378128034,1
