fit indices,Model_1,Model_2,Model_3
chisq,501.795,539.525,537.079
pvalue,0.000,0.000,0.000
cfi,0.970,0.974,0.974
tli,0.956,0.963,0.962
srmr,0.040,0.036,0.036
rmsea,0.064,0.068,0.068
