"terms","PA1","PA3","PA2"
"answer",0.716897960176131,-0.136172291045808,0.180598944820639
"clearData",0.430543695855344,0.324578988244122,0.147092829873908
"clearRepresent",0.528395622288305,0.195241238114493,0.139853500731603
"complex",0.505374207668069,0.288238206936566,-0.119028418199237
"confid",0.922643445329137,-0.248616923703651,0.0843475318288673
"confus",0.500222387428051,0.469161169533537,-0.187737881133067
"crowd",-0.202064964998954,0.888373496514992,0.0133539196632438
"deciph",0.544114557349615,0.228343059015652,-0.00544848406013206
"distinguish",0.137897313490357,0.338743329046044,0.225842399647576
"distract",-0.00347429563240074,0.745501351461507,0.000737919276216261
"effect",0.368965225800194,0.270939037151998,0.230853999179152
"find",0.297716632159213,0.0305892160670632,0.462080946233339
"identifi",0.624211195296362,0.0429044665529016,0.14989673203489
"inform",0.491237404761612,0.124176869177572,0.239870928545347
"lost",0.399669759692487,0.389867919896141,0.000100096391130205
"meanElem",0.741095952561891,-0.000657062168202373,-0.0624772404819689
"meanOveral",0.837692865567861,-0.144868329621769,0.0137863184845092
"messi",-0.0425801256342297,0.856597785442712,0.0284980822932667
"obvious",0.841202466048144,-0.0465472407625083,-0.202567575194205
"organiz",0.238370116823057,0.48520944351971,0.159514402108567
"read",0.787226003280376,0.130354438648852,-0.066872363550821
"readabl",0.655610187065832,0.0711453160728149,0.0816095950337298
"represent",0.805910898112534,0.00962845253059366,0.0208992022136329
"see",-0.128142667608174,0.0903854877980242,0.833672880831629
"simpl",0.673458023095889,0.310499131839661,-0.0916138382926283
"understandEasi",0.786642517386695,0.170034424974507,-0.13861788751062
"understandQuick",0.704085695417607,0.118169387002349,0.0249725593557514
"valu",0.352085070984326,-0.26639215176691,0.613105489878641
"visibl",-0.303402831451033,0.122369623443581,0.915894244115692
