"terms","PA1","PA3","PA2"
"answer",0.0648514622783896,-0.028350421858589,0.0586653750097915
"clearData",0.0434277144693604,0.0870539067120502,0.0459134677320306
"clearRepresent",0.0422322378085295,0.0235640838805617,0.0499716215981008
"complex",0.0278128396594528,0.0421129374682623,-0.019236570055053
"confid",0.107616742031692,-0.0816486751702722,0.0456020799364731
"confus",0.0491216564065843,0.112801314622536,-0.0526108433425062
"crowd",-0.0246133106869097,0.175455245387577,0.00675655878370052
"deciph",0.0322052424205052,0.0353206355737821,0.0035494469781431
"distinguish",0.00886581098217362,0.0479378343721968,0.0392698259777595
"distract",-0.00955555457564381,0.151010098377276,-0.00803830066818479
"effect",0.0234297859069458,0.0485491073445837,0.0670065236361755
"find",0.0268018570263944,-0.00286284050754752,0.122508615511357
"identifi",0.0642883178053548,0.0178565938450755,0.058224587994891
"inform",0.0481118868385705,0.0236712146227244,0.0891122766353833
"lost",0.0379060499262594,0.0650268305871368,0.000421006446339627
"meanElem",0.0526425878425492,0.00173316964618073,-0.0125364778819819
"meanOveral",0.0707946569540336,-0.0455664672395836,0.0148128712898562
"messi",-0.0168771398749076,0.264323430682934,0.000654581025542065
"obvious",0.0526917361151852,-0.0215883776202273,-0.037109355333479
"organiz",0.0145588825333723,0.0880389276341413,0.0595712214436459
"read",0.0999597478482312,0.0151047459554635,-0.0142893423017876
"readabl",0.0606511941058745,-0.00102207325752349,0.017368357736642
"represent",0.104039846582486,-0.000529455725342921,0.00795108085653094
"see",-0.00702349023743868,0.0188381699837844,0.272847935791017
"simpl",0.0970539403520897,0.10448770687178,-0.039702620253512
"understandEasi",0.0757125960870025,0.0368690428672444,-0.0513738571527555
"understandQuick",0.0800920298338641,0.0186283795629737,-0.00176427276738164
"valu",0.0388241903394162,-0.0510756111668329,0.157264817736448
"visibl",-0.0292458004174386,0.0293752317957359,0.311164143007562
