"terms","PA1","PA2","PA3"
"answer",0.0374359215039463,0.0281910123179376,-0.00891558498684322
"clearData",0.0432994186594479,0.05295251962225,0.0617900606576309
"clearRepresent",0.0706339136700576,0.0528810359909717,0.0495058686570033
"complex",0.0267521740122759,0.0354184019037105,0.0049646377435253
"confid",0.0431292786499864,-0.0215654913630369,0.0119520930419401
"confus",0.0609747024992078,0.0464108551483139,-0.0124671843993638
"crowd",0.00095290753777376,0.142793708792429,-0.00264240972626793
"deciph",0.0670799616686354,0.0197926485032501,-0.0824117782855914
"distinguish",0.0125921081989751,0.0428036448274872,0.024532013596071
"distract",-0.00426357668940406,0.132596399221475,-0.0172367884942494
"effect",0.0571618900694723,-0.00301108424910681,0.0567093468737071
"find",0.0293251225077159,0.0445120805207004,0.0644606452648935
"identifi",0.0605971684612505,-0.00976882960447562,0.056850717222938
"inform",0.0684033821083129,0.0369126544054359,-0.0297298674138596
"lost",0.070058468016795,0.0179350539722043,-0.0508220991863929
"meanElem",0.0366329879161837,0.00672904365734211,0.0577326306888889
"meanOveral",0.0381208423866502,-0.0452669108917855,0.0583111030143555
"messi",-0.0123775213599925,0.278511771980571,0.0242743207072923
"obvious",0.0578618976891034,-0.0431385812966944,0.0319820530390278
"organiz",-0.00340789873621999,0.28893694601739,0.0195015868578638
"read",0.0487048306732414,0.0443923077535709,0.00924158122517444
"readabl",0.0513340165767452,0.071088599314366,0.0195243115877496
"represent",0.0753242146778162,0.0112364171947843,-0.00374785812698749
"see",0.00609085435155139,0.0175879816989946,0.481340727780699
"simpl",0.0411386803138155,0.066775681144763,0.00583594915776619
"understandEasi",0.120391132291619,-0.0748318317809001,-0.00598400718508753
"understandQuick",0.0566707954971385,-0.0668662052711725,0.00216192998748367
"valu",0.0141834385988464,0.0106978927728711,0.072383582226421
"visibl",0.00448217690021593,-0.0114906811285099,0.248505375150875
