"terms","PA1","PA2"
"answer",0.0614116233240531,-0.00811742769958683
"clearData",0.0288404682871888,0.115003008905108
"clearRepresent",0.0592477718407425,0.0519169350062471
"complex",0.0216374643745201,0.0379029060346424
"confid",0.0790973656679119,-0.0339447489621265
"confus",0.0363680231386205,0.0581055115250905
"crowd",-0.0352782246422875,0.104576859875941
"deciph",0.0335903835416759,0.0439958276762952
"distinguish",-0.0118189950465643,0.0705032999808698
"distract",-0.0246607587888447,0.097339081366764
"effect",0.0491047427925,0.032029901167692
"find",0.0163964299235579,0.0704625218482382
"identifi",0.0565041857858314,0.0426721433081764
"inform",0.0442429445322848,0.0484018874480768
"lost",0.0403606288047602,0.0446659327076288
"meanElem",0.0550133493377569,-0.00356318055138007
"meanOveral",0.0635325355063085,-0.0314348942574163
"messi",-0.0618190482070871,0.197668738140522
"obvious",0.101133009363933,-0.0603734159130336
"organiz",-0.00240442222467528,0.0799826111221999
"read",0.0383433972294426,0.0683655531399046
"readabl",0.0349638056869995,0.0568821984243446
"represent",0.112693045518487,-0.0368744690218105
"see",0.0326629931389957,0.0152225456353488
"simpl",0.0295942671026167,0.0973921683038715
"understandEasi",0.12774255584973,-0.0482373999269105
"understandQuick",0.0868738565062207,-0.0221629290747383
"valu",0.0214649546398756,0.00349120417405201
"visibl",0.0261542238751565,0.0168530010272567
