"terms","ML1","ML3","ML2"
"answer",0.510204453397141,0.416623120908109,-0.0700543030889009
"clearData",0.231916761635553,0.3924376307055,0.367736730959995
"clearRepresent",0.364952106497996,0.343095662619749,0.272252101854312
"complex",0.490202989447092,0.0193578516322491,0.419246409274899
"confid",0.851145476532694,0.0810165170096548,-0.119928094830548
"confus",0.499445015818033,0.0310136378160939,0.438452652275563
"crowd",-0.138136910391795,-0.118959251773891,1.00360842260025
"deciph",0.446659954570242,0.130125865134225,0.37545834606877
"distinguish",-0.245658150033636,0.664199967216898,0.365556317261728
"distract",-0.0485080872861841,0.130166715452412,0.726611473097252
"effect",0.331052015211217,0.454775376771943,0.147889186557899
"find",-0.0559932768460332,0.773532035813274,0.167143761126539
"identifi",0.283985476557347,0.597667208154139,0.0637343785830917
"inform",0.221896538535403,0.612133396893649,0.120634563203747
"lost",0.516765774990071,0.0495064473850014,0.386834671731004
"meanElem",0.557039022565223,0.301196665286088,-0.0177347392476662
"meanOveral",0.858523351491674,0.00553035170083821,-0.108879964694573
"messi",-0.0145291183750129,-0.0518712181063679,0.95919402647618
"obvious",1.02383344681261,-0.134428844840333,-0.0525192708578321
"organiz",0.111243837416912,0.173761740874179,0.613080890946376
"read",0.305758397785695,0.429869706945859,0.243507098542884
"readabl",0.208007710073483,0.511325062196509,0.221471589124626
"represent",0.852307793216321,0.0534767709021686,-0.0142827866301402
"see",0.180300944783868,0.551540251715363,0.0129554687990964
"simpl",0.36285753192642,0.219690724548918,0.410324071330399
"understandEasi",0.809519374273992,0.0920380941049974,0.0469618457403069
"understandQuick",0.749307935625532,0.0487286973995726,0.140010645571535
"valu",0.0863384860820619,0.72963348380034,-0.15157077989213
"visibl",0.172317195431399,0.547513666684111,-0.0131014836105623
