"terms","PA1","PA4","PA5","PA2","PA3"
"answer",0.543861060979775,0.400711144099549,-0.0405933811610826,-0.00969664828142286,-0.02051183209554
"clearData",0.101056864980032,0.329534814767462,0.356224851778415,0.181878592368402,0.0505148472255553
"clearRepresent",0.25010977145245,0.285664081334858,0.310567971097384,0.123715726411298,0.0340896221857269
"complex",0.256373232930256,-0.0238608503857712,0.519348746313842,0.184482461313698,0.0140511529194718
"confid",0.858429130544416,0.096253209769874,-0.0734434397474239,-0.00846595519387923,-0.038354433707957
"confus",0.317009734819736,0.0382687015033849,0.421748421682825,0.23104388614093,-0.0183995718352242
"crowd",-0.00401127817246917,-0.0747923956089177,-0.0324016674909673,0.930991958004583,-0.00312330109006797
"deciph",0.248454826199521,0.149646019331109,0.477112949536472,0.142753888074296,-0.0616151022812708
"distinguish",-0.100329190724921,0.693018806022638,-0.135026471513486,0.358638489481134,-0.00224976569040104
"distract",0.0614191600170821,0.202994987654091,-0.0345858391088853,0.658085788934731,-0.0336960552234779
"effect",0.247650412558838,0.376358829975583,0.21188415759296,0.0563783057936594,0.0696254841065054
"find",-0.00902368737037936,0.811749251977643,-0.0282881254325741,0.121568519730347,0.00685394948815672
"identifi",0.279856933442886,0.594944738764056,0.0736796768389199,0.033680228667432,-0.0262545532081516
"inform",0.185693873454802,0.571490058101763,0.177042395222582,0.0414484604889947,-0.0119677159721093
"lost",0.349668515808038,0.0411723162387359,0.37280648099304,0.210766116365962,0.00427971756506576
"meanElem",0.592622158890783,0.276758657883922,-0.092415555042702,0.0675908827348036,0.0307753659601453
"meanOveral",0.921001934433808,-0.0160373944270856,-0.165165850616722,0.0485942512249014,0.00408459514830459
"messi",-0.00164221628187436,-0.0595561389969703,0.189813454342998,0.782362682599299,0.0479401578472846
"obvious",0.880180175743508,-0.218193496014237,0.182838197882325,-0.0283455297572201,0.0574142962491132
"organiz",0.11371484773377,0.108440899070654,0.146005552626179,0.480504002137404,0.109407545306144
"read",0.155134278704649,0.439625480653971,0.380425874311948,0.0562997190699258,-0.0539077796285594
"readabl",0.151718396861758,0.484492203175547,0.21103853938639,0.107368840885765,0.00168756952374207
"represent",0.801721533987909,0.00567884747975993,0.0338215862818251,0.0450593402134396,0.0456072084655589
"see",0.0210847582585423,0.0542316848270648,0.0257127499224459,0.0238471935649216,0.799703082358846
"simpl",0.127989810676078,0.152005165068945,0.557467948092847,0.1544875097189,0.0196866964594311
"understandEasi",0.642372225555089,0.0633113104509711,0.291578495877213,-0.0203863901968796,-0.0141527262384623
"understandQuick",0.527852055114057,-0.0103733405637704,0.401490470668054,0.00682850399905637,0.0337699773671202
"valu",0.0803746907464677,0.562107828113476,-0.000773937974214753,-0.132514830547205,0.195425782690994
"visibl",0.0389256378441431,0.0380695392892003,-0.0661969869268763,0.0369463278060171,0.851742295713099
