"terms","PA1","PA2","PA3"
"answer",0.057928527860796,-0.00739900531172955,0.0346065379347008
"clearData",0.0198161605575978,0.105938528429034,0.081766323530561
"clearRepresent",0.0556071475487498,0.0498659350321698,0.0566486340220322
"complex",0.031248902440336,0.0442943037883603,-0.025159546670535
"confid",0.0870233928685441,-0.0271356726853695,-0.00282080113867941
"confus",0.0534710832811696,0.0711550622772134,-0.0372562668875658
"crowd",-0.0276668440777122,0.114400247637972,-0.0360276264253629
"deciph",0.0492354366178066,0.0548480587296222,-0.0300419777586267
"distinguish",-0.0181011115679777,0.0649271582739965,0.0453113577255631
"distract",-0.0179991538234936,0.0986954117144497,-0.010936279614916
"effect",0.0365274246140738,0.0259578075585474,0.084730370329493
"find",-0.000707281499609384,0.0610396399548917,0.117689443364651
"identifi",0.0469876095670713,0.0370837689990745,0.0845898628656023
"inform",0.0357552328091978,0.0425991488889599,0.0782340422019315
"lost",0.0493531822714416,0.0508614334905968,-0.0160186686000098
"meanElem",0.0509363178500702,-0.00358772863987619,0.031465060443595
"meanOveral",0.0693490869077177,-0.0257912733307649,-0.00516941531980264
"messi",-0.048610016099942,0.209503068266462,-0.0475776029763661
"obvious",0.117278167374883,-0.0524539727789399,-0.0292979894360854
"organiz",-0.00353848958569825,0.0729202840328198,0.0252595240182467
"read",0.0382472071773976,0.0670785907358927,0.0417409178611734
"readabl",0.0279459795545889,0.0513087102492578,0.065993770480553
"represent",0.116205003476968,-0.0297543257611003,0.016056441803134
"see",-0.00448746772089324,-0.0119577752604346,0.28780427225644
"simpl",0.036531773825163,0.10041077915837,0.00102662778701311
"understandEasi",0.147634049697025,-0.0333543351162872,-0.0324364872073659
"understandQuick",0.0943833186267622,-0.0142660699946096,-0.0104822641632426
"valu",0.0102565747205105,-0.00502871353620885,0.0770708801977185
"visibl",-0.00668651819713373,-0.0111001222967298,0.261788015512882
