Condition,exclusion,nb excluded
A,Failed attention check,3
B,Failed attention check,6
C,Failed attention check,5
C,Failed topic at first attempt,1
D,Failed attention check,5
D,Failed topic at first attempt,1
E,Failed attention check,6
F,Failed attention check,1
F,Failed topic at first attempt,5
