"terms","PA1","PA2","PA3"
"answer",-0.190683809460752,0.805888082910044,-0.00335806754620926
"clearData",0.569482094999808,0.152537004375975,0.161081596295819
"clearRepresent",0.534630917989075,0.29279473694152,0.0445738080302218
"complex",0.600092113788211,0.32178356477812,-0.158083156397416
"confid",-0.0635754283178521,0.778114336499678,-0.0600357964270958
"confus",0.574342939744553,0.247560673562291,-0.0859842575109558
"crowd",0.845919106777133,-0.185624762371735,0.103001888220474
"deciph",0.463158758441521,0.292590506080269,-0.0253037534356825
"distinguish",0.399672433687978,0.0310441375893142,0.360874463608951
"distract",0.866733604583479,-0.275757228925762,0.0861650197004242
"effect",0.270089694340036,0.463652659671599,0.0539314214704298
"find",0.25140188983455,0.208125524285821,0.289539242504005
"identifi",0.0755042447838247,0.384953662480304,0.401633496853305
"inform",0.0718131229751973,0.520242366577563,0.240215939450402
"lost",0.63329333337357,0.194610299798324,-0.113848994154513
"meanElem",0.0766810837413052,0.455200392140905,0.0964890561322598
"meanOveral",-0.0754574583957262,0.692618292911397,-0.0349575801214502
"messi",1.07950526585185,-0.212872374536614,-0.0985902045890858
"obvious",-0.00402292160317923,0.821184179003717,-0.136659841681534
"organiz",0.707552476391105,0.138272429173953,-0.0531436308409112
"read",0.421833039552666,0.350527238726323,0.118970617658281
"readabl",0.486575829098709,0.185148314995674,0.140270699401714
"represent",0.12105223341657,0.800529873192464,-0.0873574017681407
"see",-0.0655869008938022,-0.163372114854831,0.916919705193955
"simpl",0.636290163714206,0.228364362564752,0.0182213995944543
"understandEasi",0.216238881284463,0.686542653171771,0.00577498550144686
"understandQuick",0.482658117675373,0.400912226453334,-0.0884310980650087
"valu",-0.0506488383694913,0.291482398578663,0.309807810842221
"visibl",-0.00687890175386068,-0.0820294400292646,0.780382626574943
