"terms","PA1","PA2","PA3"
"answer",-0.0231526434032089,0.102186180591378,0.0188785323431251
"clearData",0.072735572408791,0.0112710509604334,0.0800588600529442
"clearRepresent",0.0705788450252718,0.0596818447342324,0.0279915051975044
"complex",0.0751467959104423,0.0372910063226523,-0.0442124307910847
"confid",-0.0153593480921671,0.0933699664938754,-0.00867240937315218
"confus",0.0670712090618465,0.0389564525972049,-0.0306116754155803
"crowd",0.098877609105141,-0.0434756599993921,0.0471420061819824
"deciph",0.0438752665465674,0.0434311460626119,0.00441214933602021
"distinguish",0.0479954762866764,0.0103478194438941,0.119142629219883
"distract",0.08472137683129,-0.0327283964705304,0.0431672657260448
"effect",0.0237774721770735,0.0577164789374403,0.0193198284096959
"find",0.0240556291946784,0.0213634275007192,0.0924001630736083
"identifi",-0.00352840078795224,0.0745931140691152,0.15896174741887
"inform",0.00410368601445623,0.077932907645766,0.0869131044669476
"lost",0.0546466548380145,0.0295727960021688,-0.0222745867499445
"meanElem",0.0115836361809816,0.04148384695491,0.0189403478193063
"meanOveral",-0.00854329034632992,0.0577107626096522,-0.00316991571416442
"messi",0.217756918761418,-0.0676904985123235,-0.0531909696105855
"obvious",-0.0155266746451118,0.12492683006443,-0.0318722337400483
"organiz",0.0820939387782147,0.00900679039696572,-0.00568767196976765
"read",0.0628422393041252,0.0486823532744767,0.0522017065962191
"readabl",0.0449483477684781,0.0163955228484696,0.0553050842691635
"represent",0.0110390717534628,0.167534723581272,-0.0311454969850236
"see",0.00522050284845597,-0.00823840994139127,0.348322297655243
"simpl",0.109155693245982,0.0369156541095433,-0.00359754897166011
"understandEasi",0.0340838223098955,0.179618256425394,0.0311529702589296
"understandQuick",0.0422437167430359,0.0412022709998543,-0.0185507380150508
"valu",0.00508021955624469,0.0304594742707021,0.0580762088162712
"visibl",0.00500069029457444,-0.00411709739655882,0.212948898705955
