seed,Status,Completed at,Time taken,Age,Gender,Highest education level completed,Language,Fluent languages
1793122762,APPROVED,2024-02-16T13:37:42.846000Z,1074.0,22,Man (including Trans Male/Trans Man),High school diploma/A-levels,Slovenian,"English, Slovenian"
88728779476,APPROVED,2024-02-16T18:16:45.438000Z,1797.0,27,Man (including Trans Male/Trans Man),High school diploma/A-levels,Other,English
83506571242,APPROVED,2024-02-16T13:46:01.210000Z,559.0,22,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Polish,"English, Polish, French"
11563465956,APPROVED,2024-02-16T15:55:46.191000Z,587.0,37,Man (including Trans Male/Trans Man),Technical/community college,English,English
133317927855,AWAITING REVIEW,2024-02-17T07:04:27.429000Z,623.0,21,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),English,English
25014991071,APPROVED,2024-02-16T16:09:51.641000Z,1085.0,22,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Afrikaans,English
97279980930,APPROVED,2024-02-16T14:19:26.880000Z,1782.0,26,Man (including Trans Male/Trans Man),Technical/community college,English,English
15876336958,APPROVED,2024-02-16T18:44:34.588000Z,279.0,21,Man (including Trans Male/Trans Man),High school diploma/A-levels,Polish,"English, Polish"
24245252934,APPROVED,2024-02-16T14:53:07.446000Z,1029.0,32,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Other,English
169183309114,APPROVED,2024-02-17T05:24:31.974000Z,428.0,20,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Spanish,"English, Spanish"
124353470888,APPROVED,2024-02-17T05:29:42.745000Z,462.0,32,Woman (including Trans Female/Trans Woman),Technical/community college,English,"Afrikaans, English"
4780933211,APPROVED,2024-02-16T16:24:42.808000Z,492.0,26,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
200038799659,APPROVED,2024-02-16T19:16:20.366000Z,934.0,33,Man (including Trans Male/Trans Man),High school diploma/A-levels,English,English
199509489494,APPROVED,2024-02-16T14:48:35.261000Z,2333.0,67,Woman (including Trans Female/Trans Woman),Technical/community college,Dutch,"Dutch, English, German, Spanish, Portuguese"
59759184557,APPROVED,2024-02-16T15:54:33.251000Z,1193.0,28,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"English, Other"
157173118595,APPROVED,2024-02-16T13:36:52.061000Z,1036.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,English
48983438511,APPROVED,2024-02-16T18:45:46.060000Z,1489.0,29,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),English,English
25609340490,AWAITING REVIEW,2024-02-17T07:00:28.705000Z,369.0,31,Man (including Trans Male/Trans Man),Technical/community college,English,"Afrikaans, English"
145483657916,APPROVED,2024-02-16T15:59:09.556000Z,780.0,24,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,English,English
124795218319,AWAITING REVIEW,2024-02-17T07:05:43.490000Z,626.0,28,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
136080170285,APPROVED,2024-02-16T13:58:43.524000Z,536.0,27,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,English
134083223367,APPROVED,2024-02-16T14:25:17.020000Z,786.0,23,Man (including Trans Male/Trans Man),Technical/community college,Hungarian,"English, Hungarian"
27220793753,APPROVED,2024-02-16T15:51:02.524000Z,1462.0,22,Non-binary (would like to give more detail),Undergraduate degree (BA/BSc/other),Portuguese,"English, Portuguese"
28631157925,APPROVED,2024-02-17T05:53:04.457000Z,768.0,50,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),English,"Afrikaans, English"
146041936453,APPROVED,2024-02-16T13:27:37.517000Z,566.0,23,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),English,"Afrikaans, English"
123335884820,APPROVED,2024-02-16T16:23:06.225000Z,419.0,22,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portuguese,"English, Portuguese"
30300910058,APPROVED,2024-02-16T15:33:40.887000Z,574.0,25,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portuguese,"English, Portuguese"
144689664511,APPROVED,2024-02-16T15:29:36.891000Z,299.0,25,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Hungarian,"Slovak, Hungarian, English"
16520773870,APPROVED,2024-02-16T13:51:27.306000Z,1932.0,25,Man (including Trans Male/Trans Man),Technical/community college,English,"Rather not say, English"
