"","Model_3"
"npar",234
"fmin",0.15275289113126
"chisq",537.079165217511
"df",228
"pvalue",0
"baseline.chisq",12104.5069931305
"baseline.df",330
"baseline.pvalue",0
"cfi",0.97375013956866
"tli",0.96200678095464
"cfi.robust",0.973699195911114
"tli.robust",0.961933046713454
"nnfi",0.96200678095464
"rfi",0.935780001301805
"nfi",0.955629819081247
"pnfi",0.660253329547044
"ifi",0.973975583444165
"rni",0.97375013956866
"nnfi.robust",0.961933046713454
"rni.robust",0.973699195911114
"logl",-26676.0968346701
"unrestricted.logl",-26407.5572520613
"aic",53820.1936693401
"bic",55100.6257756495
"ntotal",1758
"bic2",54357.2272396383
"rmsea",0.0680195307668117
"rmsea.ci.lower",0.0605888173560572
"rmsea.ci.upper",0.0754838472122962
"rmsea.ci.level",0.9
"rmsea.pvalue",5.33600958314562e-05
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.00381079827397271
"rmsea.notclose.h0",0.08
"rmsea.robust",0.0682321482137434
"rmsea.ci.lower.robust",0.0607636724200092
"rmsea.ci.upper.robust",0.075733835346375
"rmsea.pvalue.robust",4.82902105245486e-05
"rmsea.notclose.pvalue.robust",0.00457102247150277
"rmr",0.0675463577756696
"rmr_nomean",0.0729578217780646
"srmr",0.036385672243267
"srmr_bentler",0.036385672243267
"srmr_bentler_nomean",0.0393004984001507
"crmr",0.0393105090882126
"crmr_nomean",0.0430619358821627
"srmr_mplus",0.0363964551142869
"srmr_mplus_nomean",0.0393120778820117
"cn_05",865.874686976583
"cn_01",919.466977202566
"gfi",0.974156043558362
"agfi",0.94763198299984
"pgfi",0.480752333184646
"mfi",0.915846527494363
"ecvi",0.571717386358084
