fit indices,Model_2,Model_3,Model_1
chisq,539.525,537.079,501.795
pvalue,0.000,0.000,0.000
cfi,0.974,0.974,0.970
tli,0.963,0.962,0.956
srmr,0.036,0.036,0.040
rmsea,0.068,0.068,0.064
